user_id,created_at,market,class,md_do,university_id,device_type,marketing_source
am_197519,2019-08-16,RoW,3rd year,,2068,,
am_188359,2019-03-18,RoW,3rd year,,716,,
am_199068,2019-09-07,RoW,4th year,,1120,,
am_207106,2019-12-17,RoW,5th year,,2113,,
am_185091,2019-01-12,RoW,,,2,,
am_201500,2019-10-07,RoW,,,23,,
am_184958,2019-01-10,RoW,,,34,,
am_195245,2019-07-03,RoW,,,43,,
am_201228,2019-10-04,RoW,,,50,,
am_202541,2019-10-19,RoW,,,50,,
am_190561,2019-04-15,RoW,3rd year,,2511,,
am_185134,2019-01-13,RoW,4th year,,2227,,
am_196515,2019-07-29,RoW,5th year,,50,,
am_195807,2019-07-15,RoW,6th year,,2387,,
am_185929,2019-01-28,RoW,,,2,,
am_202969,2019-10-24,RoW,,,46,,
am_192374,2019-05-17,RoW,,,50,,
am_194902,2019-06-27,RoW,,,50,,
am_203080,2019-10-25,RoW,,,2494,,
am_189044,2019-03-30,RoW,4th year,,2552,,
am_202646,2019-10-21,RoW,5th year,,2858,,
am_185230,2019-01-15,RoW,5th year,,343,,
am_201107,2019-10-02,RoW,5th year,,3035,,
am_193273,2019-06-01,RoW,6th year,,1090,,
am_184849,2019-01-08,RoW,6th year,,2234,,
am_201670,2019-10-09,RoW,,,1,,
am_193695,2019-06-08,RoW,,,26,,
am_196405,2019-07-27,RoW,,,50,,
am_197686,2019-08-18,RoW,,,1663,,
am_205638,2019-11-25,RoW,1st year,,2171,,
am_186260,2019-02-04,RoW,3rd year,,1428,,
am_191124,2019-04-25,RoW,4th year,,2123,,
am_203266,2019-10-28,RoW,5th year,,1366,,
am_202425,2019-10-18,RoW,,,19,,
am_192609,2019-05-21,RoW,,,34,,
am_202568,2019-10-20,RoW,,,50,,
am_207285,2019-12-21,RoW,,,50,,
am_195922,2019-07-17,RoW,,,2127,,
am_189443,2019-04-03,RoW,3rd year,,1086,,
am_192954,2019-05-27,RoW,3rd year,,2978,,
am_187726,2019-03-05,RoW,4th year,,1070,,
am_206744,2019-12-11,RoW,4th year,,50,,
am_203564,2019-10-31,RoW,6th year,,1119,,
am_201733,2019-10-10,RoW,,,21,,
am_191447,2019-04-30,RoW,,,50,,
am_195740,2019-07-14,RoW,,,50,,
am_185877,2019-01-27,RoW,,,57,,
am_204054,2019-11-05,RoW,,,1446,,
am_186730,2019-02-14,RoW,1st year,,50,,
am_190435,2019-04-12,RoW,2nd year,,2511,,
am_188466,2019-03-20,RoW,4th year,,2073,,
am_185219,2019-01-15,RoW,4th year,,861,,
am_196485,2019-07-29,RoW,5th year,,1076,,
am_207298,2019-12-21,RoW,5th year,,404,,
am_190690,2019-04-17,RoW,5th year,,2495,,
am_190553,2019-04-15,RoW,6th year,,2900,,
am_193763,2019-06-09,RoW,,,12,,
am_185316,2019-01-16,RoW,,,44,,
am_190853,2019-04-20,RoW,,,50,,
am_204062,2019-11-05,RoW,,,50,,
am_199274,2019-09-10,RoW,,,1078,,
am_193561,2019-06-06,RoW,,,891,,
am_205429,2019-11-22,RoW,2nd year,,1083,,
am_186486,2019-02-10,RoW,2nd year,,2272,,
am_187085,2019-02-21,RoW,3rd year,,1078,,
am_186725,2019-02-14,RoW,,,13,,
am_201332,2019-10-05,RoW,,,15,,
am_200568,2019-09-25,RoW,,,50,,
am_189826,2019-04-06,RoW,2nd year,,2899,,
am_188873,2019-03-28,RoW,3rd year,,2232,,
am_185064,2019-01-12,RoW,4th year,,2225,,
am_192302,2019-05-16,RoW,6th year,,1299,,
am_198143,2019-08-25,RoW,6th year,,50,,
am_205838,2019-11-28,RoW,6th year,,1657,,
am_190119,2019-04-07,RoW,,,2,,
am_190314,2019-04-10,RoW,,,2,,
am_202162,2019-10-15,RoW,,,16,,
am_206261,2019-12-04,RoW,,,19,,
am_195062,2019-06-30,RoW,,,26,,
am_205341,2019-11-21,RoW,,,50,,
am_190014,2019-04-07,RoW,,,61,,
am_184779,2019-01-07,RoW,4th year,,50,,
am_193267,2019-06-01,RoW,4th year,,1599,,
am_195482,2019-07-08,RoW,5th year,,1449,,
am_192869,2019-05-25,RoW,,,2,,
am_191142,2019-04-25,RoW,,,40,,
am_187090,2019-02-21,RoW,,,45,,
am_184920,2019-01-09,RoW,,,50,,
am_204504,2019-11-11,RoW,,,50,,
am_201878,2019-10-12,RoW,,,1078,,
am_201126,2019-10-02,RoW,,,983,,
am_189228,2019-04-01,RoW,,,2263,,
am_186733,2019-02-14,RoW,3rd year,,616,,
am_185022,2019-01-11,RoW,4th year,,2220,,
am_186390,2019-02-07,RoW,5th year,,859,,
am_191553,2019-05-02,RoW,6th year,,774,,
am_202327,2019-10-17,RoW,,,34,,
am_200425,2019-09-24,RoW,,,46,,
am_204047,2019-11-05,RoW,,,1446,,
am_187807,2019-03-07,RoW,2nd year,,2894,,
am_187570,2019-03-02,RoW,2nd year,,1969,,
am_205434,2019-11-22,RoW,4th year,,2963,,
am_186449,2019-02-09,RoW,4th year,,1687,,
am_186436,2019-02-08,RoW,5th year,,2935,,
am_206975,2019-12-15,RoW,6th year,,50,,
am_207664,2019-12-28,RoW,6th year,,208,,
am_191134,2019-04-25,RoW,,,4,,
am_185992,2019-01-29,RoW,,,10,,
am_203473,2019-10-30,RoW,,,16,,
am_206337,2019-12-05,RoW,,,21,,
am_194767,2019-06-25,RoW,,,50,,
am_201798,2019-10-11,RoW,3rd year,,50,,
am_192832,2019-05-24,RoW,3rd year,,1723,,
am_199826,2019-09-17,RoW,5th year,,3179,,
am_191299,2019-04-28,RoW,6th year,,50,,
am_206168,2019-12-03,RoW,6th year,,1668,,
am_190335,2019-04-11,RoW,,,3,,
am_202158,2019-10-15,RoW,,,19,,
am_184855,2019-01-08,RoW,,,20,,
am_189134,2019-03-31,RoW,,,1314,,
am_202769,2019-10-22,RoW,,,38,,
am_192335,2019-05-16,RoW,,,45,,
am_186249,2019-02-04,RoW,,,50,,
am_189008,2019-03-30,RoW,,,50,,
am_189641,2019-04-04,RoW,,,50,,
am_184773,2019-01-07,RoW,,,1662,,
am_204058,2019-11-05,RoW,,,1446,,
am_207579,2019-12-26,RoW,5th year,,2100,,
am_198653,2019-09-01,RoW,6th year,,1138,,
am_186425,2019-02-08,RoW,6th year,,1968,,
am_195430,2019-07-07,RoW,,,3,,
am_201593,2019-10-08,RoW,,,3,,
am_191578,2019-05-02,RoW,,,6,,
am_194766,2019-06-25,RoW,,,23,,
am_204059,2019-11-05,RoW,,,50,,
am_187809,2019-03-07,RoW,3rd year,,2261,,
am_194384,2019-06-18,RoW,4th year,,2928,,
am_201281,2019-10-05,RoW,4th year,,2511,,
am_185145,2019-01-13,RoW,6th year,,2422,,
am_206483,2019-12-07,RoW,,,3,,
am_191067,2019-04-24,RoW,,,38,,
am_196151,2019-07-22,RoW,,,50,,
am_203257,2019-10-27,RoW,,,50,,
am_191580,2019-05-02,RoW,,,3187,,
am_200988,2019-10-01,RoW,,,649,,
am_207483,2019-12-24,RoW,2nd year,,1580,,
am_185774,2019-01-25,RoW,3rd year,,2077,,
am_205354,2019-11-21,RoW,5th year,,2591,,
am_185092,2019-01-12,RoW,,,2,,
am_189582,2019-04-04,RoW,,,10,,
am_184736,2019-01-06,RoW,,,32,,
am_191804,2019-05-07,RoW,,,48,,
am_204504,2019-11-11,RoW,,,50,,
am_202800,2019-10-22,RoW,,,2100,,
am_206763,2019-12-11,RoW,4th year,,2923,,
am_193167,2019-05-30,RoW,6th year,,50,,
am_207033,2019-12-16,RoW,6th year,,50,,
am_188187,2019-03-14,RoW,,,2,,
am_207036,2019-12-16,RoW,,,45,,
am_186249,2019-02-04,RoW,,,50,,
am_187668,2019-03-04,RoW,,,50,,
am_189694,2019-04-05,RoW,,,50,,
am_189873,2019-04-06,RoW,,,50,,
am_207053,2019-12-16,RoW,,,50,,
am_188348,2019-03-18,RoW,1st year,,50,,
am_203583,2019-10-31,RoW,1st year,,957,,
am_203084,2019-10-25,RoW,3rd year,,2084,,
am_188723,2019-03-26,RoW,3rd year,,50,,
am_196527,2019-07-30,RoW,3rd year,,50,,
am_187845,2019-03-08,RoW,3rd year,,1713,,
am_184963,2019-01-10,RoW,5th year,,1990,,
am_194724,2019-06-24,RoW,5th year,,973,,
am_207553,2019-12-26,RoW,6th year,,2238,,
am_185108,2019-01-12,RoW,6th year,,1758,,
am_188149,2019-03-13,RoW,6th year,,2283,,
am_186854,2019-02-17,RoW,,,2,,
am_202524,2019-10-19,RoW,,,5,,
am_191720,2019-05-06,RoW,,,8,,
am_202177,2019-10-15,RoW,,,18,,
am_190563,2019-04-15,RoW,,,22,,
am_192321,2019-05-16,RoW,,,38,,
am_201352,2019-10-06,RoW,,,48,,
am_198851,2019-09-04,RoW,,,50,,
am_203963,2019-11-04,RoW,,,50,,
am_190723,2019-04-17,RoW,,,1078,,
am_206566,2019-12-08,RoW,,,2230,,
am_202525,2019-10-19,RoW,3rd year,,971,,
am_188050,2019-03-12,RoW,5th year,,2233,,
am_206580,2019-12-08,RoW,5th year,,2244,,
am_194426,2019-06-19,RoW,6th year,,2496,,
am_202472,2019-10-18,RoW,,,19,,
am_204061,2019-11-05,RoW,,,1446,,
am_201902,2019-10-12,RoW,,,205,,
am_199519,2019-09-13,RoW,3rd year,,2962,,
am_206878,2019-12-13,RoW,4th year,,1041,,
am_206179,2019-12-03,RoW,4th year,,50,,
am_185942,2019-01-28,RoW,5th year,,1090,,
am_187554,2019-03-02,RoW,6th year,,2081,,
am_186209,2019-02-03,RoW,6th year,,1685,,
am_188944,2019-03-29,RoW,6th year,,2233,,
am_191907,2019-05-09,RoW,,,23,,
am_189139,2019-03-31,RoW,,,48,,
am_184595,2019-01-03,RoW,,,50,,
am_191167,2019-04-25,RoW,,,50,,
am_193985,2019-06-11,RoW,,,5,,
am_190211,2019-04-08,RoW,,,10,,
am_202120,2019-10-15,RoW,,,22,,
am_185194,2019-01-14,RoW,,,28,,
am_206686,2019-12-10,RoW,,,30,,
am_186694,2019-02-13,RoW,,,50,,
am_202342,2019-10-17,RoW,,,50,,
am_207573,2019-12-26,RoW,,,1438,,
am_192817,2019-05-24,RoW,3rd year,,261,,
am_193850,2019-06-10,RoW,4th year,,1228,,
am_201421,2019-10-07,RoW,5th year,,2201,,
am_192379,2019-05-17,RoW,,,4,,
am_190521,2019-04-14,RoW,,,10,,
am_186923,2019-02-18,RoW,,,50,,
am_188402,2019-03-19,RoW,,,2505,,
am_204971,2019-11-17,RoW,6th year,,2156,,
am_199581,2019-09-14,RoW,,,41,,
am_201091,2019-10-02,RoW,,,1986,,
am_188887,2019-03-28,RoW,5th year,,2234,,
am_192608,2019-05-21,RoW,,,3,,
am_200521,2019-09-25,RoW,,,3,,
am_197802,2019-08-20,RoW,,,7,,
am_201203,2019-10-03,RoW,,,9,,
am_189509,2019-04-03,RoW,,,18,,
am_202030,2019-10-14,RoW,,,19,,
am_204545,2019-11-11,RoW,,,21,,
am_205796,2019-11-27,RoW,,,2095,,
am_188031,2019-03-11,RoW,,,50,,
am_188954,2019-03-29,RoW,,,50,,
am_197442,2019-08-14,RoW,,,50,,
am_201056,2019-10-02,RoW,,,52,,
am_199263,2019-09-10,RoW,,,61,,
am_185677,2019-01-23,RoW,,,936,,
am_197465,2019-08-15,RoW,4th year,,2575,,
am_190334,2019-04-11,RoW,5th year,,50,,
am_188890,2019-03-28,RoW,5th year,,2243,,
am_203724,2019-11-01,RoW,,,6,,
am_190857,2019-04-20,RoW,,,11,,
am_188365,2019-03-18,RoW,,,26,,
am_190415,2019-04-12,RoW,,,34,,
am_203363,2019-10-29,RoW,,,46,,
am_206994,2019-12-15,RoW,,,46,,
am_186155,2019-02-01,RoW,,,50,,
am_191597,2019-05-03,RoW,,,50,,
am_206270,2019-12-04,RoW,,,50,,
am_200121,2019-09-20,RoW,,,1217,,
am_190559,2019-04-15,RoW,3rd year,,50,,
am_191589,2019-05-03,RoW,5th year,,347,,
am_192115,2019-05-13,RoW,,,4,,
am_202118,2019-10-15,RoW,,,31,,
am_185257,2019-01-15,RoW,,,32,,
am_200787,2019-09-28,RoW,,,33,,
am_201655,2019-10-09,RoW,,,44,,
am_196106,2019-07-21,RoW,,,46,,
am_188971,2019-03-29,RoW,,,50,,
am_201719,2019-10-10,RoW,,,50,,
am_184942,2019-01-10,RoW,,,343,,
am_207729,2019-12-30,RoW,4th year,,2064,,
am_188232,2019-03-15,RoW,4th year,,2100,,
am_199186,2019-09-09,RoW,,,61,,
am_202316,2019-10-17,RoW,,,1090,,
am_203523,2019-10-30,RoW,2nd year,,50,,
am_197404,2019-08-14,RoW,3rd year,,2142,,
am_194300,2019-06-17,RoW,5th year,,2239,,
am_206567,2019-12-08,RoW,6th year,,1290,,
am_188385,2019-03-18,RoW,6th year,,1095,,
am_188187,2019-03-14,RoW,,,2,,
am_206762,2019-12-11,RoW,,,21,,
am_186569,2019-02-11,RoW,,,30,,
am_202639,2019-10-20,RoW,,,44,,
am_187984,2019-03-11,RoW,,,50,,
am_197961,2019-08-22,RoW,,,1215,,
am_207272,2019-12-21,RoW,2nd year,,2343,,
am_191401,2019-04-30,RoW,3rd year,,1040,,
am_186657,2019-02-13,RoW,4th year,,858,,
am_186207,2019-02-03,RoW,4th year,,1453,,
am_200710,2019-09-27,RoW,6th year,,726,,
am_190575,2019-04-15,RoW,,,1,,
am_193965,2019-06-11,RoW,,,5,,
am_204081,2019-11-05,RoW,,,5,,
am_201816,2019-10-11,RoW,,,44,,
am_202041,2019-10-14,RoW,,,44,,
am_191271,2019-04-28,RoW,,,50,,
am_202040,2019-10-14,RoW,,,50,,
am_196804,2019-08-04,RoW,,,62,,
am_205551,2019-11-24,RoW,,,2995,,
am_186185,2019-02-02,RoW,,,7,,
am_187165,2019-02-22,RoW,,,44,,
am_185451,2019-01-18,RoW,,,50,,
am_191005,2019-04-23,RoW,,,58,,
am_201302,2019-10-05,RoW,,,953,,
am_190968,2019-04-22,RoW,3rd year,,631,,
am_205703,2019-11-25,RoW,6th year,,2228,,
am_201754,2019-10-10,RoW,,,21,,flyer
am_202167,2019-10-15,RoW,,,6,,flyer
am_202550,2019-10-19,RoW,,,32,,flyer
am_201233,2019-10-04,RoW,,,1,,flyer
am_202410,2019-10-18,RoW,,,10,,flyer
am_201952,2019-10-13,RoW,,,16,,flyer
am_186608,2019-02-12,RoW,,,50,,other
am_189160,2019-03-31,RoW,,,50,,other
am_184974,2019-01-10,RoW,3rd year,,2247,,other
am_187507,2019-03-01,RoW,,,50,,other
am_195519,2019-07-09,RoW,6th year,,2594,,other
am_184848,2019-01-08,RoW,5th year,,1685,,other
am_206219,2019-12-03,RoW,,,48,,other
am_188981,2019-03-29,RoW,1st year,,2241,,other
am_195269,2019-07-04,RoW,,,50,,other
am_198833,2019-09-04,RoW,1st year,,946,,other
am_207516,2019-12-25,RoW,4th year,,2052,,other
am_201305,2019-10-05,RoW,4th year,,2516,,other
am_206226,2019-12-03,RoW,6th year,,2241,,other
am_185582,2019-01-21,RoW,,,50,,other
am_187005,2019-02-19,RoW,1st year,,1666,,other
am_191323,2019-04-28,RoW,2nd year,,929,,other
am_206340,2019-12-05,RoW,,,50,,other
am_185099,2019-01-12,RoW,,,50,,other
am_186979,2019-02-19,RoW,2nd year,,1666,,other
am_185624,2019-01-22,RoW,3rd year,,2510,,other
am_205274,2019-11-20,RoW,2nd year,,2222,,other
am_184974,2019-01-10,RoW,3rd year,,2247,,other
am_205621,2019-11-25,RoW,,,50,,other
am_190407,2019-04-12,RoW,4th year,,1669,,other
am_202084,2019-10-14,RoW,,,2605,,other
am_196981,2019-08-07,RoW,,,50,,other
am_191987,2019-05-10,RoW,6th year,,256,,other
am_199899,2019-09-18,RoW,2nd year,,1751,,other
am_189160,2019-03-31,RoW,,,50,,other
am_205621,2019-11-25,RoW,,,50,,other
am_187420,2019-02-27,RoW,,,50,,other
am_189105,2019-03-31,RoW,2nd year,,984,,other
am_197406,2019-08-14,RoW,,,50,,other
am_186354,2019-02-06,RoW,3rd year,,50,,other
am_191398,2019-04-30,RoW,3rd year,,50,,other
am_185863,2019-01-26,RoW,4th year,,2228,,other
am_185016,2019-01-11,RoW,6th year,,2249,,other
am_206700,2019-12-10,RoW,3rd year,,1439,,other
am_202045,2019-10-14,RoW,,,33,,other
am_196214,2019-07-23,RoW,,,50,,other
am_189052,2019-03-30,RoW,,,50,,other
am_186775,2019-02-15,RoW,5th year,,1165,,other
am_196760,2019-08-03,RoW,,,617,,other
am_199321,2019-09-10,RoW,,,50,,other
am_206787,2019-12-11,RoW,,,50,,other
am_185143,2019-01-13,RoW,,,50,,press
am_198545,2019-08-30,RoW,,,1040,,amazon
am_187358,2019-02-26,RoW,,,9,,amazon
am_198023,2019-08-23,RoW,,,1582,,google
am_199825,2019-09-17,RoW,4th year,,2382,,google
am_187948,2019-03-10,RoW,4th year,,2143,,google
am_187468,2019-02-28,RoW,,,48,,google
am_194323,2019-06-17,RoW,5th year,,2006,,google
am_186451,2019-02-09,RoW,6th year,,2332,,google
am_206625,2019-12-09,RoW,2nd year,,957,,google
am_202517,2019-10-19,RoW,2nd year,,1196,,google
am_198927,2019-09-05,RoW,,,891,,google
am_199995,2019-09-19,RoW,,,44,,google
am_191857,2019-05-08,RoW,,,50,,google
am_206853,2019-12-12,RoW,1st year,,2086,,google
am_188032,2019-03-11,RoW,4th year,,2595,,google
am_189158,2019-03-31,RoW,5th year,,2243,,google
am_192513,2019-05-20,RoW,,,1902,,google
am_207571,2019-12-26,RoW,4th year,,1053,,google
am_207142,2019-12-18,RoW,4th year,,2280,,google
am_188924,2019-03-28,RoW,4th year,,2517,,google
am_186542,2019-02-11,RoW,,,50,,google
am_195777,2019-07-15,RoW,,,50,,google
am_191222,2019-04-26,RoW,3rd year,,1043,,google
am_185720,2019-01-24,RoW,5th year,,361,,google
am_202086,2019-10-14,RoW,5th year,,2538,,google
am_207076,2019-12-16,RoW,6th year,,2501,,google
am_199590,2019-09-14,RoW,,,50,,google
am_201949,2019-10-13,RoW,,,50,,google
am_190760,2019-04-18,RoW,4th year,,1890,,google
am_185325,2019-01-16,RoW,,,50,,google
am_191465,2019-05-01,RoW,,,340,,google
am_197320,2019-08-13,RoW,4th year,,1885,,google
am_188388,2019-03-18,RoW,4th year,,206,,google
am_201789,2019-10-11,RoW,6th year,,2079,,google
am_192716,2019-05-22,RoW,,,50,,google
am_186563,2019-02-11,RoW,3rd year,,1840,,google
am_207430,2019-12-23,RoW,,,50,,google
am_196001,2019-07-19,RoW,5th year,,1271,,google
am_185660,2019-01-23,RoW,6th year,,375,,google
am_185461,2019-01-18,RoW,6th year,,1455,,google
am_187043,2019-02-20,RoW,,,50,,google
am_202694,2019-10-21,RoW,5th year,,2112,,google
am_200898,2019-09-30,RoW,3rd year,,2392,,google
am_186612,2019-02-12,RoW,6th year,,1102,,google
am_185831,2019-01-26,RoW,5th year,,1897,,google
am_203012,2019-10-24,RoW,,,45,,google
am_203492,2019-10-30,RoW,,,50,,google
